,ID,Нэр,Оноо,Хөтөлбөр,grade_letter
431,S432,Гэрэл,60,Хиймэл оюун,D
432,S433,Батаа,65,"Санхүү, банк",D
433,S434,Цэцэг,89,"Санхүү, банк",B
434,S435,Амар,64,Хиймэл оюун,D
435,S436,Цэцэг,94,Компьютерийн ухаан,A
436,S437,Цэцэг,60,Компьютерийн ухаан,D
437,S438,Билгүүн,86,Сэтгэл судлал,B
438,S439,Болор,61,Сэтгэл судлал,D
439,S440,Сүрэн,72,Хиймэл оюун,C
440,S441,Батаа,90,Компьютерийн ухаан,A
441,S442,Наран,58,Мэдээлэл технологи,F
442,S443,Нарантуяа,57,Программ хангамж,F
443,S444,Сарнай,86,Мэдээллийн систем,B
444,S445,Ану,95,Хиймэл оюун,A
445,S446,Баяр,69,Эдийн засаг,D
446,S447,Цолмон,89,Программ хангамж,B
447,S448,Тэрбиш,80,Программ хангамж,B
448,S449,Дорж,96,Хиймэл оюун,A
449,S450,Тамир,70,Компьютерийн ухаан,C
450,S451,Цолмон,85,Программ хангамж,B
451,S452,Халиун,81,Мэдээллийн систем,B
452,S453,Нарантуяа,69,Программ хангамж,D
453,S454,Баасан,64,Эдийн засаг,D
454,S455,Чулуун,57,Мэдээлэл технологи,F
455,S456,Болор,56,Компьютерийн ухаан,F
456,S457,Энхжаргал,50,Хиймэл оюун,F
457,S458,Туяа,78,"Санхүү, банк",C
458,S459,Оюун,58,Сэтгэл судлал,F
459,S460,Алтангэрэл,54,Программ хангамж,F
460,S461,Сарнай,62,Мэдээлэл технологи,D
461,S462,Баттулга,92,Мэдээллийн систем,A
462,S463,Баяр,51,Компьютерийн ухаан,F
463,S464,Цэцэг,52,Эдийн засаг,F
464,S465,Тэмүүлэн,80,"Санхүү, банк",B
465,S466,Эрдэнэ,73,Мэдээлэл технологи,C
466,S467,Баттулга,67,Мэдээлэл технологи,D
467,S468,Халиун,70,Компьютерийн ухаан,C
468,S469,Мөнх,50,Мэдээллийн систем,F
469,S470,Баттулга,54,Мэдээллийн систем,F
470,S471,Лхагва,91,Эдийн засаг,A
471,S472,Алтангэрэл,82,"Санхүү, банк",B
472,S473,Баяр,74,Хиймэл оюун,C
473,S474,Хулан,71,Компьютерийн ухаан,C
474,S475,Бат,51,Сэтгэл судлал,F
475,S476,Зориг,53,Сэтгэл судлал,F
476,S477,Нарантуяа,91,Эдийн засаг,A
477,S478,Болд,51,Сэтгэл судлал,F
478,S479,Сарнай,58,"Санхүү, банк",F
479,S480,Сарнай,89,Программ хангамж,B
480,S481,Чулуун,63,Программ хангамж,D
481,S482,Гэрэл,61,Мэдээлэл технологи,D
482,S483,Баттулга,81,Хиймэл оюун,B
483,S484,Одбаяр,50,Сэтгэл судлал,F
484,S485,Чулуун,86,"Санхүү, банк",B
485,S486,Лхагва,50,Мэдээллийн систем,F
486,S487,Лхагва,80,Сэтгэл судлал,B
487,S488,Энэбиш,61,Мэдээллийн систем,D
488,S489,Жаргал,62,Хиймэл оюун,D
489,S490,Цолмон,65,Мэдээллийн систем,D
490,S491,Тамир,96,"Санхүү, банк",A
491,S492,Бат,75,"Санхүү, банк",C
492,S493,Баяр,73,Эдийн засаг,C
493,S494,Халиун,68,Компьютерийн ухаан,D
494,S495,Цэцэг,68,Мэдээллийн систем,D
495,S496,Болд,58,Компьютерийн ухаан,F
496,S497,Тэмүүжин,69,Программ хангамж,D
497,S498,Эрдэнэ,71,Компьютерийн ухаан,C
498,S499,Мөнх,79,Мэдээлэл технологи,C
499,S500,Халиун,51,Хиймэл оюун,F
